날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-03 20:19:17.511649,2016683,ET WEB_SERVER WebShell Generic - wget http - POST,Potentially Bad Traffic,2,TCP,103.161.61.77,42842,192.168.45.3,443
2026-06-03 20:48:22.136721,2400003,ET DROP Spamhaus DROP Listed Traffic Inbound group 4,Misc Attack,2,TCP,43.228.157.62,52336,192.168.45.3,5900
2026-06-03 20:48:22.136721,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,43.228.157.62,52336,192.168.45.3,5900
2026-06-03 20:48:22.375525,2400042,ET DROP Spamhaus DROP Listed Traffic Inbound group 43,Misc Attack,2,TCP,195.178.110.239,46995,192.168.45.3,9477
2026-06-03 20:49:23.929263,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.53,42551,192.168.45.3,49684
2026-06-03 20:49:39.476651,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.186.135,64210,192.168.45.3,16519
2026-06-03 20:49:56.083730,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.7,46505,192.168.45.3,59000
2026-06-03 20:51:12.710590,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.144,43268,192.168.45.3,27876
2026-06-03 20:51:22.842856,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.186.228,27644,192.168.45.3,39869
2026-06-03 20:52:03.180518,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.31,46740,192.168.45.3,44164
2026-06-03 20:52:10.614176,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.30,57327,192.168.45.3,30369
2026-06-03 20:54:13.412465,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,49.232.11.13,33144,192.168.45.3,5432
2026-06-03 20:54:14.464370,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,49.232.11.13,33144,192.168.45.3,5432
2026-06-03 20:59:07.389389,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,43334,192.168.45.3,52849
2026-06-03 21:00:30.258913,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.29,46626,192.168.45.3,23430
2026-06-03 21:02:51.531028,2400002,ET DROP Spamhaus DROP Listed Traffic Inbound group 3,Misc Attack,2,TCP,36.255.97.87,52129,192.168.45.3,5900
2026-06-03 21:07:02.526831,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.186.142,52138,192.168.45.3,48613
2026-06-03 21:11:18.238649,2400042,ET DROP Spamhaus DROP Listed Traffic Inbound group 43,Misc Attack,2,TCP,195.178.110.237,48348,192.168.45.3,2183
2026-06-03 21:12:37.407057,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.32,57032,192.168.45.3,52601
2026-06-03 21:13:08.667023,2400012,ET DROP Spamhaus DROP Listed Traffic Inbound group 13,Misc Attack,2,TCP,88.210.63.69,50110,192.168.45.3,64435
2026-06-03 21:14:22.541372,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,198.235.24.110,57244,192.168.45.3,6667
2026-06-03 21:14:54.607617,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.224.30,43102,192.168.45.3,5683
2026-06-03 21:15:50.911281,2400003,ET DROP Spamhaus DROP Listed Traffic Inbound group 4,Misc Attack,2,TCP,43.228.157.8,9617,192.168.45.3,259
2026-06-03 21:15:50.911281,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,43.228.157.8,9617,192.168.45.3,259
2026-06-03 21:16:04.062046,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.224.23,36584,192.168.45.3,16992
2026-06-03 21:16:42.554269,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.154.98,58914,192.168.45.3,1025
2026-06-03 21:16:53.176884,2400014,ET DROP Spamhaus DROP Listed Traffic Inbound group 15,Misc Attack,2,TCP,91.224.92.32,38324,192.168.45.3,17000
2026-06-03 21:17:32.914471,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.186.250,64961,192.168.45.3,18244
2026-06-03 21:22:03.257286,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.172.119,63904,192.168.45.3,11199
2026-06-03 21:23:52.496252,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,198.235.24.26,52352,192.168.45.3,541
2026-06-03 21:24:31.612927,2400007,ET DROP Spamhaus DROP Listed Traffic Inbound group 8,Misc Attack,2,TCP,46.151.182.191,49300,192.168.45.3,5432
2026-06-03 21:24:56.176714,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,UDP,66.132.172.253,43128,192.168.45.3,17536
2026-06-03 21:29:49.029258,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.186.231,12009,192.168.45.3,64534
2026-06-03 21:34:14.691606,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.148.10.67,40000,192.168.45.3,80
2026-06-03 21:34:14.691606,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,45.148.10.67,40000,192.168.45.3,80
2026-06-03 21:34:47.527252,2400010,ET DROP Spamhaus DROP Listed Traffic Inbound group 11,Misc Attack,2,TCP,85.11.167.7,40811,192.168.45.3,54320
2026-06-03 21:36:54.704190,2400009,ET DROP Spamhaus DROP Listed Traffic Inbound group 10,Misc Attack,2,TCP,77.90.185.79,47984,192.168.45.3,8332
2026-06-03 21:37:44.031034,2400003,ET DROP Spamhaus DROP Listed Traffic Inbound group 4,Misc Attack,2,TCP,43.228.157.192,38095,192.168.45.3,5900
2026-06-03 21:37:44.031034,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,43.228.157.192,38095,192.168.45.3,5900
2026-06-03 21:39:59.673944,2400033,ET DROP Spamhaus DROP Listed Traffic Inbound group 34,Misc Attack,2,TCP,176.65.139.91,55347,192.168.45.3,16122
2026-06-03 21:39:59.673944,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,176.65.139.91,55347,192.168.45.3,16122
2026-06-03 21:44:24.858939,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.172.125,8371,192.168.45.3,41171
2026-06-03 21:49:14.329271,2400008,ET DROP Spamhaus DROP Listed Traffic Inbound group 9,Misc Attack,2,TCP,64.89.161.171,49972,192.168.45.3,80
2026-06-03 21:50:00.763419,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,54319,192.42.174.30,53
2026-06-03 21:50:00.763436,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,54553,192.42.173.30,53
2026-06-03 21:50:00.841916,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,21856,205.251.197.48,53
2026-06-03 21:50:00.878174,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,28277,192.42.174.30,53
2026-06-03 21:50:00.890861,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,12664,205.251.194.5,53
2026-06-03 21:50:00.894222,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,56006,205.251.194.5,53
2026-06-03 21:50:00.897565,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,11288,205.251.197.48,53
2026-06-03 21:50:00.933655,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,12080,205.251.197.48,53
2026-06-03 21:50:00.968029,2027758,ET DNS Query for .cc TLD,Potentially Bad Traffic,2,UDP,192.168.45.3,40098,192.42.174.30,53
2026-06-03 21:53:36.285855,2400003,ET DROP Spamhaus DROP Listed Traffic Inbound group 4,Misc Attack,2,TCP,43.228.157.143,52283,192.168.45.3,5900
2026-06-03 21:53:36.285855,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,43.228.157.143,52283,192.168.45.3,5900
2026-06-03 21:53:40.620325,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,66.132.172.146,47234,192.168.45.3,16861
2026-06-03 21:54:03.127383,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,49279,192.168.45.3,53415
2026-06-03 21:56:32.460128,2400003,ET DROP Spamhaus DROP Listed Traffic Inbound group 4,Misc Attack,2,TCP,43.228.157.196,51208,192.168.45.3,5900
2026-06-03 21:56:32.460128,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,43.228.157.196,51208,192.168.45.3,5900
2026-06-03 21:57:17.647742,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,45.198.224.126,54081,192.168.45.3,20
2026-06-03 21:57:49.294248,2402000,ET DROP Dshield Block Listed Source group 1,Misc Attack,2,TCP,65.49.20.70,56813,192.168.45.3,8883
2026-06-03 21:57:59.726051,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.31,46740,192.168.45.3,16098
2026-06-03 21:58:47.811580,2400035,ET DROP Spamhaus DROP Listed Traffic Inbound group 36,Misc Attack,2,TCP,185.93.89.110,50447,192.168.45.3,5900
2026-06-03 21:59:05.214145,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.144,43252,192.168.45.3,28687
2026-06-03 21:59:44.996787,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.7,46505,192.168.45.3,28088
2026-06-03 22:01:37.869332,2400006,ET DROP Spamhaus DROP Listed Traffic Inbound group 7,Misc Attack,2,TCP,45.142.193.29,46626,192.168.45.3,16683
